id,name,ean,cleaned_name,audio_file
606,VERSICAN PLUS DHPPIL4R-25dosis,3858888794781.0,VERSICAN PLUS DHPPIL4R 25dosis,audios\VERSICAN_PLUS_DHPPIL4R_25dosis.mp3
617,VERSICAN PLUS DHPPIL4-25dosis,3858888794774.0,VERSICAN PLUS DHPPIL4 25dosis,audios\VERSICAN_PLUS_DHPPIL4_25dosis.mp3
628,SIMPARICA PERROS 5-10kg 20mg 3cp,8431166700039.0,SIMPARICA PERROS 5 10kg 20miligramos 3cp,audios\SIMPARICA_PERROS_5_10kg_20miligramos_3cp.mp3
639,SIMPARICA PERROS 10-20kg 40mg 3cp,3411112264377.0,SIMPARICA PERROS 10 20kg 40miligramos 3cp,audios\SIMPARICA_PERROS_10_20kg_40miligramos_3cp.mp3
650,SIMPARICA PERROS 20-40kg 80mg 3cp,3411112263806.0,SIMPARICA PERROS 20 40kg 80miligramos 3cp,audios\SIMPARICA_PERROS_20_40kg_80miligramos_3cp.mp3
661,"FORTEKOR PLUS- 1,25/2,5mg 30tabs",3700454546532.0,FORTEKOR PLUS  1.25 por 2.5miligramos 30tabs,audios\FORTEKOR_PLUS__125_por_25miligramos_30tabs.mp3
672,PREDNICORTONE 20mg 30cp,9010854000560.0,PREDNICORTONE 20miligramos 30cp,audios\PREDNICORTONE_20miligramos_30cp.mp3
683,PREDNICORTONE 5mg 30cp,8429949193291.0,PREDNICORTONE 5miligramos 30cp,audios\PREDNICORTONE_5miligramos_30cp.mp3
694,LETIFEND LEISHMANIA 10ds,8436025862163.0,LETIFEND LEISHMANIA 10ds,audios\LETIFEND_LEISHMANIA_10ds.mp3
705,CARPRODYL QUADRI 120mg- x 120cp,7613203000130.0,CARPRODYL QUADRI 120miligramos  x 120cp,audios\CARPRODYL_QUADRI_120miligramos__x_120cp.mp3
716,CARPRODYL QUADRI 50mg x- 100cp,8422320326530.0,CARPRODYL QUADRI 50miligramos x  100cp,audios\CARPRODYL_QUADRI_50miligramos_x__100cp.mp3
727,SOLIPHEN 60mg 60cp,8414042005053.0,SOLIPHEN 60miligramos 60cp,audios\SOLIPHEN_60miligramos_60cp.mp3
738,BUTOMIDOR 10ml,52742026862.0,BUTOMIDOR 10mililitros,audios\BUTOMIDOR_10mililitros.mp3
749,TUSHEEL JARABE 150ml,3411112991334.0,TUSHEEL JARABE 150mililitros,audios\TUSHEEL_JARABE_150mililitros.mp3
760,"STRONGHOLD PLUS GATO 30/5mg 2,5-5kg 6pip",3411112991341.0,STRONGHOLD PLUS GATO 30 por 5miligramos 2.5 5kg 6pip,audios\STRONGHOLD_PLUS_GATO_30_por_5miligramos_25_5kg_6pip.mp3
771,"PROLONGADOR REGULADOR- FLUJO 59cm 4,1ml",3411112991358.0,PROLONGADOR REGULADOR  FLUJO 59cm 4.1mililitros,audios\PROLONGADOR_REGULADOR__FLUJO_59cm_41mililitros.mp3
782,MERLIN 65cm 2un,8436025881713.0,MERLIN 65cm 2un,audios\MERLIN_65cm_2un.mp3
793,NACOTIL 125ml,8436025881881.0,NACOTIL 125mililitros,audios\NACOTIL_125mililitros.mp3
804,"CANINE GASTROINTESTINAL- BIOME 1,5kg",8436025881812.0,CANINE GASTROINTESTINAL  BIOME 1.5kg,audios\CANINE_GASTROINTESTINAL__BIOME_15kg.mp3
815,VECTRA 3D PERRO 4-10kg  12pip,,VECTRA 3D PERRO 4 10kg  12pip,audios\VECTRA_3D_PERRO_4_10kg__12pip.mp3
826,VECTRA 3D PERRO 10-25kg  12pip,3411113032647.0,VECTRA 3D PERRO 10 25kg  12pip,audios\VECTRA_3D_PERRO_10_25kg__12pip.mp3
837,VECTRA 3D PERRO 25-40kg  12pip,5600788469386.0,VECTRA 3D PERRO 25 40kg  12pip,audios\VECTRA_3D_PERRO_25_40kg__12pip.mp3
848,SIMPARICA TRIO PERROS 5-10kg 3cp,8414042005831.0,SIMPARICA TRIO PERROS 5 10kg 3cp,audios\SIMPARICA_TRIO_PERROS_5_10kg_3cp.mp3
859,SIMPARICA TRIO PERROS 10-20kg 3cp,8414042005848.0,SIMPARICA TRIO PERROS 10 20kg 3cp,audios\SIMPARICA_TRIO_PERROS_10_20kg_3cp.mp3
870,SIMPARICA TRIO PERROS 20-40kg 3cp,,SIMPARICA TRIO PERROS 20 40kg 3cp,audios\SIMPARICA_TRIO_PERROS_20_40kg_3cp.mp3
881,"ZELYS 1,25mg 8x12tabs",7613038944593.0,ZELYS 1.25miligramos 8 por 12tabs,audios\ZELYS_125miligramos_8_por_12tabs.mp3
892,OMNICARDIO PLUS 60cp,8436005141738.0,OMNICARDIO PLUS 60cp,audios\OMNICARDIO_PLUS_60cp.mp3
903,PLASMORAL DIGEST RZ PEQ- Y MED 30 sobres,8436025888286.0,PLASMORAL DIGEST RZ PEQ  Y MED 30 sobres,audios\PLASMORAL_DIGEST_RZ_PEQ__Y_MED_30_sobres.mp3
914,PLASMORAL DIGEST RZ GDE-Y GIGAN 30sobres,8719874710039.0,PLASMORAL DIGEST RZ GDE Y GIGAN 30sobres,audios\PLASMORAL_DIGEST_RZ_GDE_Y_GIGAN_30sobres.mp3
925,EMPAPADORES MEDLINE- 60x90cm 25un,8719874710046.0,EMPAPADORES MEDLINE  60 por 90cm 25un,audios\EMPAPADORES_MEDLINE__60_por_90cm_25un.mp3
936,SANICAT CLUMPING VAINILLA-MANDARINA 8L,52742039848.0,SANICAT CLUMPING VAINILLA MANDARINA 8L,audios\SANICAT_CLUMPING_VAINILLA_MANDARINA_8L.mp3
947,PROPLAN FELINE HYDRA-CARE HYDRAT 10x85gr,8414042004896.0,PROPLAN FELINE HYDRA CARE HYDRAT 10 por 85gr,audios\PROPLAN_FELINE_HYDRA_CARE_HYDRAT_10_por_85gr.mp3
958,DESINCLOR CLORHEXIDINA- ACUOSA 1% 50ml,8435458401369.0,DESINCLOR CLORHEXIDINA  ACUOSA 1% 50mililitros,audios\DESINCLOR_CLORHEXIDINA__ACUOSA_1_50mililitros.mp3
969,LIBRELA 30mg iny 2x1ml,8414042006081.0,LIBRELA 30miligramos iny 2 por 1mililitros,audios\LIBRELA_30miligramos_iny_2_por_1mililitros.mp3
980,"DEXACORTONE 0,5mg 10cp",8414042006050.0,DEXACORTONE 0.5miligramos 10cp,audios\DEXACORTONE_05miligramos_10cp.mp3
991,DEXACORTONE 2mg 10cp,8436588990099.0,DEXACORTONE 2miligramos 10cp,audios\DEXACORTONE_2miligramos_10cp.mp3
1002,CANINE I/D STEW POLLO-VEGETALES 12x354gr,8414042006067.0,CANINE I por D STEW POLLO VEGETALES 12 por 354gr,audios\CANINE_I_por_D_STEW_POLLO_VEGETALES_12_por_354gr.mp3
1013,PLASMORAL IMMUNITY 60cp,8414042006005.0,PLASMORAL IMMUNITY 60cp,audios\PLASMORAL_IMMUNITY_60cp.mp3
1024,PLAQTIV+ ADITIVO PARA- EL AGUA 500ml,8414042006012.0,PLAQTIV+ ADITIVO PARA  EL AGUA 500mililitros,audios\PLAQTIV_ADITIVO_PARA__EL_AGUA_500mililitros.mp3
1035,HEPATOSIL PLUS RAZAS- PEQUEÑAS 60cp,8414042003837.0,HEPATOSIL PLUS RAZAS  PEQUEÑAS 60cp,audios\HEPATOSIL_PLUS_RAZAS__PEQUEÑAS_60cp.mp3
1046,HEPATOSIL PLUS RAZAS- MEDIANAS 30cp,3411112285501.0,HEPATOSIL PLUS RAZAS  MEDIANAS 30cp,audios\HEPATOSIL_PLUS_RAZAS__MEDIANAS_30cp.mp3
1057,VETILEA GASTRO GEL 50ml,,VETILEA GASTRO GEL 50mililitros,audios\VETILEA_GASTRO_GEL_50mililitros.mp3
1068,HEPATOSIL PLUS RAZAS- GRANDES 30cp,,HEPATOSIL PLUS RAZAS  GRANDES 30cp,audios\HEPATOSIL_PLUS_RAZAS__GRANDES_30cp.mp3
1079,VETGASTRIL PLUS 20ml,,VETGASTRIL PLUS 20mililitros,audios\VETGASTRIL_PLUS_20mililitros.mp3
1090,VETGASTRIL PLUS 50ml,,VETGASTRIL PLUS 50mililitros,audios\VETGASTRIL_PLUS_50mililitros.mp3
1101,IRC-VET GEL PERRO GATO 50ml,,IRC VET GEL PERRO GATO 50mililitros,audios\IRC_VET_GEL_PERRO_GATO_50mililitros.mp3
1112,DERMIPRED 20mg 10x10cp,,DERMIPRED 20miligramos 10 por 10cp,audios\DERMIPRED_20miligramos_10_por_10cp.mp3
